num,name,index,desc
35.02.05,Агрономия,0,выращивает ягоды овощи фрукты грибы кормовые травы злаковые растения проверяет почву оценивает качество семян выбирает сорт культуру посева принимает решение сажать растения убирать урожай организует работу комбайнеров трактористов задания контролирует выполнение увеличивает сбора урожая повышает качество агроном работает ферме выращивает кукурузу специалист обследует почву изучает погоду проводит исследования узнать какие удобрения подойдут кукурузы рассказывает фермеру применять удобрения агроном проверяет растения наличие болезней вредителей замечает проблемы советует фермеру обрабатывать кукурузу агроном помогает фермеру выбрать лучшее посева уборки кукурузы урожай
35.03.03,Агрохимия и агропочвоведение,1,выращивает ягоды овощи фрукты грибы кормовые травы злаковые растения проверяет почву оценивает качество семян выбирает сорт культуру посева принимает решение сажать растения убирать урожай организует работу комбайнеров трактористов задания контролирует выполнение увеличивает сбора урожая повышает качество агроном работает ферме выращивает кукурузу специалист обследует почву изучает погоду проводит исследования узнать какие удобрения подойдут кукурузы рассказывает фермеру применять удобрения агроном проверяет растения наличие болезней вредителей замечает проблемы советует фермеру обрабатывать кукурузу агроном помогает фермеру выбрать лучшее посева уборки кукурузы урожай
35.03.04,Агрономия,2,выращивает ягоды овощи фрукты грибы кормовые травы злаковые растения проверяет почву оценивает качество семян выбирает сорт культуру посева принимает решение сажать растения убирать урожай организует работу комбайнеров трактористов задания контролирует выполнение увеличивает сбора урожая повышает качество агроном работает ферме выращивает кукурузу специалист обследует почву изучает погоду проводит исследования узнать какие удобрения подойдут кукурузы рассказывает фермеру применять удобрения агроном проверяет растения наличие болезней вредителей замечает проблемы советует фермеру обрабатывать кукурузу агроном помогает фермеру выбрать лучшее посева уборки кукурузы урожай
35.03.05,Садоводство,3,выращивает ягоды овощи фрукты грибы кормовые травы злаковые растения проверяет почву оценивает качество семян выбирает сорт культуру посева принимает решение сажать растения убирать урожай организует работу комбайнеров трактористов задания контролирует выполнение увеличивает сбора урожая повышает качество агроном работает ферме выращивает кукурузу специалист обследует почву изучает погоду проводит исследования узнать какие удобрения подойдут кукурузы рассказывает фермеру применять удобрения агроном проверяет растения наличие болезней вредителей замечает проблемы советует фермеру обрабатывать кукурузу агроном помогает фермеру выбрать лучшее посева уборки кукурузы урожай
05.03.01,Геология,4,исследует месторождения полезных ископаемых помогает строительстве подземных сооружений исследует горную местность определяет наличие полезных ископаемых землей проводит исследования рельефа горных пород подземных вод определить точные размеры формы горных образований составляет планы определения границ месторождений полезных ископаемых предотвращения возможных опасностей добыче определяет оптимальные места строительства разрабатывает планы расположения объектов ведет документацию создает карты отмечены измерения находки горах строят тоннель новой железной дороги маркшейдер приезжает стройку начинает работу изучает гору пробурить тоннель какие сложности возникнуть помощью специальных инструментов измерительных лент теодолитов маркшейдер определяет точные размеры горы составляет план строительства учитывает геологические данные порода находится землей
21.05.04,Горное дело,5,исследует месторождения полезных ископаемых помогает строительстве подземных сооружений исследует горную местность определяет наличие полезных ископаемых землей проводит исследования рельефа горных пород подземных вод определить точные размеры формы горных образований составляет планы определения границ месторождений полезных ископаемых предотвращения возможных опасностей добыче определяет оптимальные места строительства разрабатывает планы расположения объектов ведет документацию создает карты отмечены измерения находки горах строят тоннель новой железной дороги маркшейдер приезжает стройку начинает работу изучает гору пробурить тоннель какие сложности возникнуть помощью специальных инструментов измерительных лент теодолитов маркшейдер определяет точные размеры горы составляет план строительства учитывает геологические данные порода находится землей проектирует налаживает ремонтирует механическое оборудование производстве ремонтирует оборудование механизмы сломался конвейер заводе инженер источник поломки разобрать прибор снять сломанную деталь измерить чертеж новую налаживает настраивает механические машины инструменты работали правильно сбоев экспертную оценку состояния текущего оборудования порекомендовать закупке большом заводе производят автомобили инженер-механик производстве настраивает механизмы используются производственной линии планирует разные детали автомобили собирались быстро качественно оборудование установлено инженер-механик следит работой ломалось работало исправно перестает специалист устраняет поломку постоянно ищет способы улучшения оборудования производство эффективнее следит техническим состоянием автотранспорта автопарке отвечает автосервисе организует техническое обслуживание автомобилей автопарке разрабатывает схемы графики движения автотранспортных средств проводит мероприятия обновлению состава автомобилей автобусов грузовиков фур разрабатывает стандарты правила проведению технического обслуживания ремонта автомобилей работает экспедиторами организовать доставку товаров городе организовать движение автобусов инженер обслуживанию автотранспорта составляет график движения автобусов разрабатывает оптимальный маршрут учитывает движения транспортные средства приходили опозданий инженер следит автопарк хорошем техническом проверяет автобусы работают исправно ломаются организует инженер обслуживанию заботится автопарк современным безопасным следит старые автобусы вовремя заменяли новые
21.05.02,Прикладная геология,6,исследует месторождения полезных ископаемых помогает строительстве подземных сооружений исследует горную местность определяет наличие полезных ископаемых землей проводит исследования рельефа горных пород подземных вод определить точные размеры формы горных образований составляет планы определения границ месторождений полезных ископаемых предотвращения возможных опасностей добыче определяет оптимальные места строительства разрабатывает планы расположения объектов ведет документацию создает карты отмечены измерения находки горах строят тоннель новой железной дороги маркшейдер приезжает стройку начинает работу изучает гору пробурить тоннель какие сложности возникнуть помощью специальных инструментов измерительных лент теодолитов маркшейдер определяет точные размеры горы составляет план строительства учитывает геологические данные порода находится землей
21.05.03,Технология геологической разведки,7,исследует месторождения полезных ископаемых помогает строительстве подземных сооружений исследует горную местность определяет наличие полезных ископаемых землей проводит исследования рельефа горных пород подземных вод определить точные размеры формы горных образований составляет планы определения границ месторождений полезных ископаемых предотвращения возможных опасностей добыче определяет оптимальные места строительства разрабатывает планы расположения объектов ведет документацию создает карты отмечены измерения находки горах строят тоннель новой железной дороги маркшейдер приезжает стройку начинает работу изучает гору пробурить тоннель какие сложности возникнуть помощью специальных инструментов измерительных лент теодолитов маркшейдер определяет точные размеры горы составляет план строительства учитывает геологические данные порода находится землей
07.02.01,Архитектура,8,восстанавливает старинные здания сооружения предметы искусства мебель картины скульптуры фрески изучает анализирует старинные произведения искусства историю особенности советуется историками химиками экспертами выбрать лучшие материалы методы восстанавливает ремонтирует древние каменные стены деревянные элементы уникальные детали зданий воспроизводит восстанавливает оригинальные цвета узоры орнаменты воссоздает первоначальный картины фрески здания проводит исследования находит способы защиты произведений искусства разрушительного воздействия окружающей среды городе старинное здание реставратору поручают восстановить первоначальный специалист изучит историю здания соберет доступные сведения архитектуре начнет реставрацию используя специальные инструменты материалы какая-то здания повреждена испорчена реставратор займется восстановлением исторической точности внимательно деталями сохранить уникальные элементы здания результате старинное здание выглядеть построено
54.02.04,Реставрация,9,восстанавливает старинные здания сооружения предметы искусства мебель картины скульптуры фрески изучает анализирует старинные произведения искусства историю особенности советуется историками химиками экспертами выбрать лучшие материалы методы восстанавливает ремонтирует древние каменные стены деревянные элементы уникальные детали зданий воспроизводит восстанавливает оригинальные цвета узоры орнаменты воссоздает первоначальный картины фрески здания проводит исследования находит способы защиты произведений искусства разрушительного воздействия окружающей среды городе старинное здание реставратору поручают восстановить первоначальный специалист изучит историю здания соберет доступные сведения архитектуре начнет реставрацию используя специальные инструменты материалы какая-то здания повреждена испорчена реставратор займется восстановлением исторической точности внимательно деталями сохранить уникальные элементы здания результате старинное здание выглядеть построено
